Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),2/7,1.489595205901835e-4,0.004522394450955832,0,0,153.3923076923077,1351.6678533430645,ESR1;TP53
regulation of apoptotic process (GO:0042981),9/742,1.5090874917075432e-4,0.004522394450955832,0,0,5.242291950886767,46.12606301924693,ANXA1;BAD;CFL1;RPS6KA1;CDK1;CD27;RAF1;FOXO3;TP53
positive regulation of protein localization to membrane (GO:1905477),4/101,1.5959893846293825e-4,0.004633356682252176,0,0,16.370309278350515,143.12310157439435,BAD;KCNB1;ERBB2;TP53
chemical synaptic transmission (GO:0007268),6/306,1.7013772131478806e-4,0.004789634639437519,0,0,8.185833333333333,71.0440479365106,CHRM1;CHRM4;PRKACG;CHRM5;RPS6KA1;MBP
zymogen activation (GO:0031638),3/45,2.4364414080655457e-4,0.006467129085307501,0,0,27.876750700280112,231.9290416731333,FGA;C1R;BAD
cytokine-mediated signaling pathway (GO:0019221),8/621,2.436485661848897e-4,0.006467129085307501,0,0,5.484928009078658,45.6334144998426,RAP1B;ANXA1;H3C13;CFL1;CD27;FOXO3;TP53;CAMK2G
regulation of cell growth (GO:0001558),5/217,2.9469405792045616e-4,0.007564097439598323,0,0,9.498459761262996,77.21842041693708,RB1;RPS6KA1;ERBB2;TP53;MTOR
response to glucose (GO:0009749),3/49,3.139389889918914e-4,0.007564097439598323,0,0,25.44757033248082,205.26803923379185,GYS2;PFKL;KCNB1
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898),2/10,3.175455329863666e-4,0.007564097439598323,0,0,95.85576923076924,772.1076136521657,ESR1;TP53
positive regulation of transcription by RNA polymerase III (GO:0045945),2/10,3.175455329863666e-4,0.007564097439598323,0,0,95.85576923076924,772.1076136521657,AR;MTOR
regulation of lipid kinase activity (GO:0043550),2/11,3.8743995530845664e-4,0.008778822401989177,0,0,85.2008547008547,669.3336268156615,RB1;RBL2
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),2/11,3.8743995530845664e-4,0.008778822401989177,0,0,85.2008547008547,669.3336268156615,MAP2K1;TP53
regulation of cyclin-dependent protein kinase activity (GO:1904029),3/54,4.186434747021948e-4,0.009259994952341406,0,0,22.946943483275664,178.49259097472682,CDK7;CDC25C;CDC25A
transcription initiation from RNA polymerase II promoter (GO:0006367),4/140,5.544403190921805e-4,0.011978489684572925,0,0,11.652941176470588,87.36852528141513,AR;NR4A1;CDK7;ESR1
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),3/60,5.710031497039948e-4,0.012055952865341163,0,0,20.525283797729617,153.28519689031296,CHRM1;CHRM4;CHRM5
Ras protein signal transduction (GO:0007265),4/142,5.848362427644994e-4,0.012073619322849331,0,0,11.482898550724638,85.48074853936357,RB1;RAP1B;CFL1;TP53
positive regulation of intracellular protein transport (GO:0090316),4/148,6.831245726475648e-4,0.01351229068384126,0,0,11.001111111111111,80.18526527449423,BAD;KCNB1;ERBB2;TP53
cellular component assembly (GO:0022607),5/261,6.83614275716404e-4,0.01351229068384126,0,0,7.848373724489796,57.19986379607173,VASP;FGA;DCX;TP53;ADD2
regulation of G2/M transition of mitotic cell cycle (GO:0010389),4/149,7.005744961011068e-4,0.01355903555995684,0,0,10.924689655172411,79.35268339626775,CDK1;NEK2;CDC25C;CDC25A
steroid hormone mediated signaling pathway (GO:0043401),2/15,7.345555571872974e-4,0.013926573727081617,0,0,58.97337278106509,425.56630208545965,AR;ESR1
protein deubiquitination (GO:0016579),5/267,7.572587427027948e-4,0.014069867439417924,0,0,7.666303162486368,55.08856391103979,AR;CDK1;TP53;ESR1;CDC25A
cellular response to decreased oxygen levels (GO:0036294),3/69,8.59406908989732e-4,0.015654686636303157,0,0,17.718360071301248,125.07865310256418,BAD;TP53;MTOR
protein modification by small protein removal (GO:0070646),5/276,8.786642996076442e-4,0.015697675660298106,0,0,7.408313879057158,52.13310223439203,AR;CDK1;TP53;ESR1;CDC25A
regulation of G1/S transition of mitotic cell cycle (GO:2000045),3/71,9.339394663847564e-4,0.0163114887609124,0,0,17.195501730103807,119.95752127155308,RB1;RBL2;ANXA1
regulation of metal ion transport (GO:0010959),2/17,9.481382056935088e-4,0.0163114887609124,0,0,51.1051282051282,355.7433227832543,CACNA2D1;CAMK2G
chromatin assembly (GO:0031497),3/73,0.001012452058887815,0.01710123568557782,0,0,16.702521008403362,115.17023113736498,H3C13;H2BC3;TP53
intracellular estrogen receptor signaling pathway (GO:0030520),2/18,0.001064812220373368,0.017664474155836767,0,0,47.90865384615385,327.93266660649385,AR;ESR1
"DNA-templated transcription, initiation (GO:0006352)",4/168,0.00109533975496204,0.017827342135080096,0,0,9.649756097560976,65.77940250600767,AR;NR4A1;CDK7;ESR1
"positive regulation of transcription, DNA-templated (GO:0045893)",10/1183,0.001113009519735894,0.017827342135080096,0,0,3.637332403317058,24.736361566926465,AR;NR4A1;MAP2K1;CDK7;RPS6KA1;ERBB2;FOXO3;TP53;ESR1;MTOR
regulation of nuclear division (GO:0051783),2/20,0.0013177506939226456,0.02026581761303627,0,0,42.58119658119658,282.3912150075315,NEK2;CDC25C
insulin secretion (GO:0030073),2/20,0.0013177506939226456,0.02026581761303627,0,0,42.58119658119658,282.3912150075315,ANXA1;CAMK2G
MAPK cascade (GO:0000165),5/303,0.0013306941597365043,0.02026581761303627,0,0,6.727845500616354,44.55215989754786,MAP2K1;ERBB2;CDK1;MBP;RAF1
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079),3/82,0.0014171544131430182,0.02123445886790103,0,0,14.793000744601638,97.0288355680606,CDK7;CDC25C;CDC25A
regulation of transcription by RNA polymerase III (GO:0006359),2/21,0.0014539455822740843,0.02143992771321626,0,0,40.33805668016194,263.5476577125423,AR;MTOR
regulation of cell cycle G2/M phase transition (GO:1902749),3/85,0.0015715511019872403,0.022812046464783534,0,0,14.249641319942612,91.9912980980468,CDK1;NEK2;TP53
negative regulation of gene expression (GO:0010629),5/322,0.0017387604040824045,0.023502538613241024,0,0,6.318483229253847,40.15132504713532,RB1;RBL2;MAP2K1;H3C13;ESR1
ERK1 and ERK2 cascade (GO:0070371),2/23,0.001745613739842444,0.023502538613241024,0,0,36.49267399267399,231.752166218624,MAP2K1;CDK1
response to nutrient levels (GO:0031667),2/23,0.001745613739842444,0.023502538613241024,0,0,36.49267399267399,231.752166218624,KCNB1;MTOR
positive regulation of transcription by RNA polymerase I (GO:0045943),2/23,0.001745613739842444,0.023502538613241024,0,0,36.49267399267399,231.752166218624,ERBB2;MTOR
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),2/23,0.001745613739842444,0.023502538613241024,0,0,36.49267399267399,231.752166218624,ESR1;TP53
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),3/89,0.001793261921908923,0.023799147506477,0,0,13.584131326949384,85.9022295713123,BAD;RPS6KA1;RAF1
negative regulation of macromolecule metabolic process (GO:0010605),4/194,0.00185866457318325,0.024319709697003374,0,0,8.318315789473685,52.30471306844914,RB1;RBL2;MAP2K1;ESR1
positive regulation of protein targeting to membrane (GO:0090314),2/24,0.001901018240228249,0.02452841590516727,0,0,34.83216783216783,218.23626682147088,KCNB1;ERBB2
regulation of epithelial cell proliferation (GO:0050678),3/93,0.002033596518985928,0.02521449502205353,0,0,12.977777777777778,80.43560959243626,NR4A1;BAD;ERBB2
regulation of heterotypic cell-cell adhesion (GO:0034114),2/25,0.002062757396852603,0.02521449502205353,0,0,33.31605351170568,206.01686820131164,FGA;MBP
response to hexose (GO:0009746),2/25,0.002062757396852603,0.02521449502205353,0,0,33.31605351170568,206.01686820131164,GYS2;PFKL
positive regulation of release of cytochrome c from mitochondria (GO:0090200),2/25,0.002062757396852603,0.02521449502205353,0,0,33.31605351170568,206.01686820131164,BAD;TP53
regulation of kinase activity (GO:0043549),3/94,0.0020966534414301767,0.02529598762452772,0,0,12.834518422753716,79.15577326267173,RB1;RBL2;ERBB2
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),2/26,0.0022307971565230693,0.02623304504316369,0,0,31.92628205128205,194.92260392854524,BAD;TP53
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),2/26,0.0022307971565230693,0.02623304504316369,0,0,31.92628205128205,194.92260392854524,BAD;TP53
peptide hormone secretion (GO:0030072),2/27,0.002405103597341798,0.02724806392598208,0,0,30.647692307692303,184.81055875222285,ANXA1;CAMK2G
positive regulation of gene silencing by miRNA (GO:2000637),2/27,0.002405103597341798,0.02724806392598208,0,0,30.647692307692303,184.81055875222285,MAP2K1;TP53
mitotic chromosome condensation (GO:0007076),2/27,0.002405103597341798,0.02724806392598208,0,0,30.647692307692303,184.81055875222285,RB1;CDK1
positive regulation of nucleic acid-templated transcription (GO:1903508),6/511,0.0024691748256965985,0.027636908591230604,0,0,4.812128712871287,28.89140129221963,AR;MAP2K1;RPS6KA1;FOXO3;TP53;ESR1
positive regulation of cellular protein metabolic process (GO:0032270),3/102,0.0026451820800154568,0.029254454194456665,0,0,11.79263220439691,69.9894534650505,BAD;ERBB2;MTOR
regulation of protein targeting to membrane (GO:0090313),2/29,0.002772381493139292,0.03030049890736944,0,0,28.37464387464388,167.0712816687644,KCNB1;ERBB2
regulation of catecholamine secretion (GO:0050433),2/30,0.0029652857587718945,0.03203198220812895,0,0,27.35989010989011,159.25595242218557,KCNB1;KCNA2
regulation of cellular amide metabolic process (GO:0034248),2/32,0.003369457930597071,0.035979613994536544,0,0,25.53333333333333,145.3613534547405,FOXO3;EIF4E
protein-containing complex subunit organization (GO:0043933),3/112,0.0034453415241381883,0.03637184404459519,0,0,10.70534268753373,60.70713195324601,FGA;TP53;ADD2
regulation of autophagy (GO:0010506),4/231,0.003489467886526796,0.03642377153464487,0,0,6.94942731277533,39.319901588164974,BAD;FOXO3;EIF4E;MTOR
response to lipid (GO:0033993),3/114,0.003621210497269949,0.03737893946626425,0,0,10.511393746687864,59.08398627938719,ANXA1;FOXO3;ESR1
cellular response to vascular endothelial growth factor stimulus (GO:0035924),2/34,0.003797893801950445,0.03757986135151411,0,0,23.935096153846157,133.3976779195181,NR4A1;ANXA1
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030),2/34,0.003797893801950445,0.03757986135151411,0,0,23.935096153846157,133.3976779195181,BAD;TP53
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),2/34,0.003797893801950445,0.03757986135151411,0,0,23.935096153846157,133.3976779195181,FOXO3;TP53
tumor necrosis factor-mediated signaling pathway (GO:0033209),3/116,0.0038024832799163897,0.03757986135151411,0,0,10.32431025507548,57.52809878392557,CD27;FOXO3;TP53
positive regulation of protein-containing complex assembly (GO:0031334),3/118,0.003989210814659552,0.0385116296434403,0,0,10.143734015345268,56.03562854988992,RAP1B;TP53;ESR1
negative regulation of cell cycle G1/S phase transition (GO:1902807),2/35,0.0040211281759028085,0.0385116296434403,0,0,23.208624708624708,128.02324793427923,RB1;RBL2
response to estrogen (GO:0043627),2/35,0.0040211281759028085,0.0385116296434403,0,0,23.208624708624708,128.02324793427923,AR;ESR1
negative regulation of cellular process (GO:0048523),6/566,0.004084382141622298,0.0387182756078277,0,0,4.327232142857143,23.80230740572671,RB1;AR;NR4A1;MAP2K1;RAF1;TP53
regulation of androgen receptor signaling pathway (GO:0060765),2/36,0.004250329791188123,0.039485563760137656,0,0,22.524886877828056,123.00297201006306,AR;H3C13
regulation of embryonic development (GO:0045995),2/36,0.004250329791188123,0.039485563760137656,0,0,22.524886877828056,123.00297201006306,CFL1;CDK1
potassium ion transport (GO:0006813),3/122,0.004379227716379815,0.040280223252642064,0,0,9.800790904597132,53.226947638137325,KCNB1;KCNA2;KCNA3
positive regulation of epithelial cell proliferation (GO:0050679),3/123,0.0044802173347095785,0.04045629060636929,0,0,9.718627450980392,52.55915091316412,NR4A1;BAD;ERBB2
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),2/37,0.004485466019866562,0.04045629060636929,0,0,21.88021978021978,118.30444220257536,RB1;RBL2
response to estradiol (GO:0032355),2/38,0.0047265043601269615,0.04222040913998026,0,0,21.271367521367523,113.8990133200568,ANXA1;ESR1
positive regulation of macromolecule biosynthetic process (GO:0010557),3/129,0.005115875703046242,0.045263319315523416,0,0,9.253034547152197,48.813520364788914,AR;ERBB2;MTOR
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244),2/40,0.005226158001712535,0.04537477367842004,0,0,20.149797570850204,105.86862582436255,BAD;TP53
positive regulation of wound healing (GO:0090303),2/40,0.005226158001712535,0.04537477367842004,0,0,20.149797570850204,105.86862582436255,ANXA1;MTOR
cellular response to hypoxia (GO:0071456),3/131,0.005339216401671557,0.04592714849215626,0,0,9.107536764705882,47.6567924907854,BAD;TP53;MTOR
regulation of release of cytochrome c from mitochondria (GO:0090199),2/41,0.005484708931963944,0.04674582199811472,0,0,19.63214990138067,102.20087423124885,BAD;TP53
protein-containing complex assembly (GO:0065003),4/267,0.005820438341299945,0.04862385207932288,0,0,5.987224334600761,30.81252979709028,FGA;BAD;TP53;ADD2
central nervous system development (GO:0007417),4/268,0.005896959028546826,0.04862385207932288,0,0,5.964242424242424,30.616355854578387,PPP1R17;MARCKS;DCX;MBP
cellular response to glucose starvation (GO:0042149),2/43,0.006019099019507137,0.04862385207932288,0,0,18.672607879924957,95.46963998767032,FOXO3;TP53
development of primary male sexual characteristics (GO:0046546),2/43,0.006019099019507137,0.04862385207932288,0,0,18.672607879924957,95.46963998767032,AR;PRKACG
positive regulation of peptide hormone secretion (GO:0090277),2/43,0.006019099019507137,0.04862385207932288,0,0,18.672607879924957,95.46963998767032,FGA;BAD
male gonad development (GO:0008584),2/43,0.006019099019507137,0.04862385207932288,0,0,18.672607879924957,95.46963998767032,AR;PRKACG
potassium ion transmembrane transport (GO:0071805),3/139,0.006290963753199756,0.049982380023640506,0,0,8.568339100346021,43.42983486679253,KCNB1;KCNA2;KCNA3
intracellular steroid hormone receptor signaling pathway (GO:0030518),2/44,0.00629487455626043,0.049982380023640506,0,0,18.227106227106223,92.3753305021316,AR;ESR1
action potential (GO:0001508),2/45,0.006576328212641212,0.05049098272350154,0,0,17.802325581395348,89.44384543900023,KCNB1;KCNA2
chromosome condensation (GO:0030261),2/45,0.006576328212641212,0.05049098272350154,0,0,17.802325581395348,89.44384543900023,RB1;CDK1
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),2/45,0.006576328212641212,0.05049098272350154,0,0,17.802325581395348,89.44384543900023,FOXO3;TP53
positive regulation of RNA metabolic process (GO:0051254),2/45,0.006576328212641212,0.05049098272350154,0,0,17.802325581395348,89.44384543900023,MAP2K1;TP53
chromatin organization (GO:0006325),3/142,0.006672301288389439,0.0506041672013326,0,0,8.382141345746932,41.992771729958896,RB1;H3C13;ESR1
protein-DNA complex assembly (GO:0065004),3/143,0.006802412369738072,0.0506041672013326,0,0,8.321848739495799,41.53000279960744,CDK7;H3C13;H2BC3
regulation of telomerase activity (GO:0051972),2/46,0.006863428490169976,0.0506041672013326,0,0,17.396853146853147,86.66326216943813,NEK2;TP53
interleukin-12-mediated signaling pathway (GO:0035722),2/46,0.006863428490169976,0.0506041672013326,0,0,17.396853146853147,86.66326216943813,RAP1B;CFL1
posttranscriptional regulation of gene expression (GO:0010608),2/46,0.006863428490169976,0.0506041672013326,0,0,17.396853146853147,86.66326216943813,FOXO3;EIF4E
nervous system development (GO:0007399),5/447,0.007018965609033817,0.05134345709285367,0,0,4.502724166589712,22.329636916162585,PPP1R17;MARCKS;CHRM1;DCX;MBP
cellular response to interleukin-12 (GO:0071349),2/48,0.007454443516934324,0.0541029533377499,0,0,16.638795986622075,81.51254605805195,RAP1B;CFL1
cellular response to organic cyclic compound (GO:0071407),3/150,0.007755613041421684,0.05544197593244456,0,0,7.922769107643057,38.499416431328434,RAP1B;AR;ESR1
regulation of cellular protein metabolic process (GO:0032268),2/49,0.00775829587859827,0.05544197593244456,0,0,16.28396072013093,79.12364418473429,FOXO3;EIF4E
regulation of cellular component movement (GO:0051270),2/50,0.008067670084263163,0.05721271380366777,0,0,15.943910256410255,76.8479024006269,ERBB2;RAF1
gonad development (GO:0008406),2/51,0.008382535244155703,0.05858664847803696,0,0,15.617739403453688,74.6778588702288,AR;PRKACG
regulation of cellular macromolecule biosynthetic process (GO:2000112),5/468,0.008471513062839319,0.05858664847803696,0,0,4.293868735399127,20.48624589172909,RB1;FOXO3;TP53;EIF4E;ESR1
regulation of cell differentiation (GO:0045595),3/156,0.008632466586165347,0.05858664847803696,0,0,7.609765474817378,36.16331772907102,AR;RPS6KA1;RAF1
peptidyl-serine phosphorylation (GO:0018105),3/156,0.008632466586165347,0.05858664847803696,0,0,7.609765474817378,36.16331772907102,RPS6KA1;CDK1;MTOR
regulation of signal transduction by p53 class mediator (GO:1901796),3/156,0.008632466586165347,0.05858664847803696,0,0,7.609765474817378,36.16331772907102,CDK1;TP53;MTOR
regulation of exocytosis (GO:0017157),2/52,0.008702860592001184,0.05858664847803696,0,0,15.304615384615383,72.6066794687417,FGA;ANXA1
regulation of intrinsic apoptotic signaling pathway (GO:2001242),2/52,0.008702860592001184,0.05858664847803696,0,0,15.304615384615383,72.6066794687417,BAD;TP53
cellular response to growth factor stimulus (GO:0071363),3/158,0.008937174124899798,0.05930453401451366,0,0,7.510815939278937,35.43254332994102,NR4A1;ANXA1;ERBB2
cellular response to starvation (GO:0009267),3/158,0.008937174124899798,0.05930453401451366,0,0,7.510815939278937,35.43254332994102,FOXO3;TP53;MTOR
negative regulation of cysteine-type endopeptidase activity (GO:2000117),2/53,0.009028615477782772,0.059481338901849125,0,0,15.003770739064857,70.62809393251956,RPS6KA1;RAF1
protein autophosphorylation (GO:0046777),3/159,0.009091873115244968,0.059481338901849125,0,0,7.462292609351433,35.075568614523775,ERBB2;NEK2;MTOR
positive regulation of gene expression (GO:0010628),5/482,0.009548832559180494,0.06203402410824251,0,0,4.164848329268814,19.37211053892404,AR;MAP2K1;ERBB2;TP53;MTOR
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),2/55,0.009696291882368669,0.06255454971333675,0,0,14.436139332365748,66.92611152225938,RPS6KA1;RAF1
negative regulation of transcription by RNA polymerase II (GO:0000122),6/684,0.010033955928513584,0.06387290316865589,0,0,3.5523598820059,16.347179883895762,RB1;AR;ERF;FOXO3;TP53;ESR1
positive regulation of establishment of protein localization to mitochondrion (GO:1903749),2/56,0.010038152704654208,0.06387290316865589,0,0,14.168091168091168,65.19251879575016,BAD;TP53
cellular response to peptide (GO:1901653),2/57,0.010385321677248704,0.06477524135362267,0,0,13.90979020979021,63.53104510332115,CACNA2D1;TP53
regulation of mitotic nuclear division (GO:0007088),2/57,0.010385321677248704,0.06477524135362267,0,0,13.90979020979021,63.53104510332115,NEK2;CDC25C
positive regulation of transcription by RNA polymerase II (GO:0045944),7/908,0.010714687661455167,0.06477524135362267,0,0,3.148156894230996,14.2804797849927,AR;NR4A1;CDK7;RPS6KA1;FOXO3;TP53;ESR1
peptidyl-serine modification (GO:0018209),3/169,0.010725628089219992,0.06477524135362267,0,0,7.00921332388377,31.78761829202504,RPS6KA1;CDK1;MTOR
regulation of calcium ion transport (GO:0051924),2/58,0.010737768749685564,0.06477524135362267,0,0,13.660714285714286,61.93751413619027,CACNA2D1;CAMK2G
nucleosome assembly (GO:0006334),2/58,0.010737768749685564,0.06477524135362267,0,0,13.660714285714286,61.93751413619027,H3C13;H2BC3
positive regulation of mitochondrion organization (GO:0010822),2/58,0.010737768749685564,0.06477524135362267,0,0,13.660714285714286,61.93751413619027,BAD;TP53
positive regulation of protein binding (GO:0032092),2/58,0.010737768749685564,0.06477524135362267,0,0,13.660714285714286,61.93751413619027,PPP2CB;ADD2
transcription by RNA polymerase II (GO:0006366),4/320,0.010857010376765952,0.06507201703235851,0,0,4.969620253164557,22.477315547347757,AR;NR4A1;CDK7;ESR1
negative regulation of autophagy (GO:0010507),2/59,0.011095463990631825,0.06523851928668964,0,0,13.42037786774629,60.40805855278045,EIF4E;MTOR
positive regulation of apoptotic signaling pathway (GO:2001235),2/59,0.011095463990631825,0.06523851928668964,0,0,13.42037786774629,60.40805855278045,BAD;TP53
mitotic DNA damage checkpoint signaling (GO:0044773),2/59,0.011095463990631825,0.06523851928668964,0,0,13.42037786774629,60.40805855278045,CDK1;TP53
peptidyl-threonine phosphorylation (GO:0018107),2/60,0.011458377583512931,0.06653020484427197,0,0,13.188328912466844,58.93909228909847,MAP2K1;CDK1
response to organic cyclic compound (GO:0014070),2/60,0.011458377583512931,0.06653020484427197,0,0,13.188328912466844,58.93909228909847,ANXA1;ESR1
"regulation of DNA-templated transcription, initiation (GO:2000142)",2/61,0.011826479837562529,0.06824099235463098,0,0,12.964146023468055,57.52728575404862,CDK1;TP53
positive regulation of developmental process (GO:0051094),3/177,0.0121475554277405,0.06966098143438842,0,0,6.684246112237998,29.48171857507416,AR;CFL1;RPS6KA1
amyloid fibril formation (GO:1990000),2/63,0.012578132119592555,0.07048071332170557,0,0,12.53783102143758,54.862984800252825,FGA;H3C13
organonitrogen compound catabolic process (GO:1901565),2/63,0.012578132119592555,0.07048071332170557,0,0,12.53783102143758,54.862984800252825,BCKDK;MTOR
protein secretion (GO:0009306),2/64,0.012961623339762796,0.07048071332170557,0,0,12.334987593052109,53.60492452410381,ANXA1;CAMK2G
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),2/64,0.012961623339762796,0.07048071332170557,0,0,12.334987593052109,53.60492452410381,CDK1;TP53
alpha-beta T cell differentiation (GO:0046632),1/5,0.013428510503704937,0.07048071332170557,0,0,94.06603773584904,405.4599145949008,ANXA1
bone marrow development (GO:0048539),1/5,0.013428510503704937,0.07048071332170557,0,0,94.06603773584904,405.4599145949008,TP53
